feature1,feature2,feature3,feature4,target
0.5,0.3,0.8,0.2,1
0.1,0.2,0.1,0.3,0
0.7,0.6,0.9,0.8,1
0.2,0.1,0.2,0.1,0
0.6,0.5,0.7,0.6,1
0.3,0.4,0.3,0.4,0
0.8,0.7,0.9,0.9,1
0.1,0.1,0.2,0.2,0
0.9,0.8,0.95,0.85,1
0.15,0.25,0.15,0.35,0
0.65,0.55,0.75,0.65,1
0.25,0.35,0.25,0.45,0
0.75,0.65,0.85,0.75,1
0.35,0.45,0.35,0.55,0
0.85,0.75,0.95,0.85,1
0.45,0.55,0.45,0.65,0
0.55,0.45,0.65,0.55,1
0.05,0.15,0.05,0.25,0
0.95,0.85,0.99,0.95,1
0.12,0.22,0.12,0.32,0
0.72,0.62,0.82,0.72,1
0.22,0.32,0.22,0.42,0
0.82,0.72,0.92,0.82,1
0.32,0.42,0.32,0.52,0
0.92,0.82,0.98,0.92,1
0.42,0.52,0.42,0.62,0
0.62,0.52,0.72,0.62,1
0.52,0.62,0.52,0.72,0
0.68,0.58,0.78,0.68,1
0.28,0.38,0.28,0.48,0
